packet,sequence,packet_time_utc,block,channel,return,azimuth_deg,elevation_deg,distance_m,reflectivity,firing_time_offset_us,x,y,z
1,39614,2025-06-10 16:36:59.923581+00:00,7,12,strongest,118.1313504,-7.0,0.508,0,39.264,0.44465021235235813,-0.23773385709201628,-0.06190962644981492
1,39614,2025-06-10 16:36:59.923581+00:00,7,13,strongest,118.1422368,-9.0,0.52,0,42.288,0.45288008594111673,-0.24224464650652558,-0.08134592182092006
1,39614,2025-06-10 16:36:59.923581+00:00,7,14,strongest,118.15312320000001,-11.0,0.528,1,45.312,0.45697906429530966,-0.24454886352538416,-0.10074714955881565
1,39614,2025-06-10 16:36:59.923581+00:00,7,15,strongest,118.16400960000001,-13.0,0.512,0,48.336,0.4398104359224304,-0.23546871063953734,-0.11517493982405888
1,39614,2025-06-10 16:36:59.923581+00:00,7,16,strongest,118.174896,-15.0,0.54,0,51.36,0.4597957847120296,-0.2462810188236604,-0.1397622843553612
1,39614,2025-06-10 16:36:59.923581+00:00,8,11,strongest,118.300464,-5.0,0.492,1,36.24,0.4315445389345826,-0.23236730165475544,-0.04288062543184782
1,39614,2025-06-10 16:36:59.923581+00:00,8,12,strongest,118.3113504,-7.0,0.516,0,39.264,0.4508917257747631,-0.24289541180418928,-0.0628845811970561
1,39614,2025-06-10 16:36:59.923581+00:00,8,13,strongest,118.3222368,-9.0,0.508,0,42.288,0.4416833532811857,-0.23804314702356705,-0.07946870824043728
1,39614,2025-06-10 16:36:59.923581+00:00,8,14,strongest,118.3331232,-11.0,0.516,1,45.312,0.44584016169320456,-0.2403927669713557,-0.09845744161429712
1,39614,2025-06-10 16:36:59.923581+00:00,8,15,strongest,118.3440096,-13.0,0.52,1,48.336,0.4459289656169229,-0.24055002116705088,-0.1169745482588098
1,39614,2025-06-10 16:36:59.923581+00:00,8,16,strongest,118.354896,-15.0,0.528,0,51.36,0.4488193622937684,-0.24221930788963866,-0.13665645581413097
2,39615,2025-06-10 16:36:59.923981+00:00,1,10,strongest,118.46957760000001,-3.0,0.468,0,33.216,0.4108411058992752,-0.22278614748011347,-0.024493227521697716
